"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"HSPA7",5.64663020287199,-2.30198774701257,0.915071646832941,-2.51563662253086,0.0118817615949885,0.0527694307169099,"HSPA7"
"HSPA12B",65.549236530359,-2.27848330627191,0.29428963575144,-7.74231583267968,9.76221205366034e-15,3.88290368174066e-13,"HSPA12B"
"IL34",52.0696653351768,-2.27170593179801,0.370996530971556,-6.12325383703434,9.1683456106885e-10,2.03442427602691e-08,"IL34"
"CPA4",164.045430457896,-2.26134864480554,0.226039278697215,-10.0042287244894,1.4602508822709e-23,1.32215077370639e-21,"CPA4"
"PKNOX2",15.3548395166662,-2.25189380421739,0.569940062018981,-3.95110636062358,7.77907405299425e-05,0.000707538396198134,"PKNOX2"
"TMEM37",14.6398550827017,-2.23139611266928,0.583602825709655,-3.82348407918678,0.000131579091573383,0.00112626701756257,"TMEM37"
"SLC6A9",229.640742740425,-2.22924527090687,0.161327145186042,-13.8181659902065,1.98051624210127e-43,5.09784880716867e-41,"SLC6A9"
"NCKAP5",107.652179101487,-2.22122026455318,0.2400949480159,-9.25142441733542,2.21520606155614e-20,1.55305769716415e-18,"NCKAP5"
"PER3",196.030110621098,-2.20784943323334,0.268632264143677,-8.21885427750586,2.05456505597254e-16,9.49209055859314e-15,"PER3"
"EMID1",5.03988401752781,-2.20722584725018,0.915906529495701,-2.40988111359516,0.0159577195425917,0.0664186164745711,"EMID1"
"LRRN1",11.3934856864641,-2.20697443334409,0.635426443708485,-3.47321779758442,0.000514257854109626,0.00375137571471549,"LRRN1"
"IGDCC4",370.82982255279,-2.1973422690514,0.152138236321878,-14.4430639014541,2.77238681913934e-47,8.18899437823814e-45,"IGDCC4"
"NA",18.3335154026563,-2.19415584390562,0.513685642439414,-4.27139803535468,1.94251340788739e-05,0.000204754850514707,NA
"RAB11FIP4",31.7093672302088,-2.18976464767078,0.379894352567557,-5.76414109046639,8.2074735275563e-09,1.59700062656058e-07,"RAB11FIP4"
"CCKAR",1216.6020649876,-2.18850401460561,0.125426845835392,-17.4484497320275,3.5370288162477e-68,2.65542438379796e-65,"CCKAR"
"HBA2",8.68260344217088,-2.18610814609251,0.720419521383115,-3.03449321014435,0.00240940178884281,0.0141593611974461,"HBA2"
"OXER1",6.77910186182124,-2.17951511559086,0.972003627364904,-2.24229113372705,0.0249425624119757,0.0948933888384667,"OXER1"
"GRIK4",45.0598704159493,-2.17881337697698,0.345601763954146,-6.30440467678303,2.89303706819533e-10,6.77850999931645e-09,"GRIK4"
"GCC2-AS1",5.14403247664733,-2.17703336784209,0.954598944790968,-2.28057382602576,0.0225736775873073,0.0875069971532064,"GCC2-AS1"
"NA",21.2157281322953,-2.16321717357115,0.467096069021217,-4.63120397931008,3.63545490952841e-06,4.47123730784184e-05,NA
"NA",28.1192964289322,-2.15934020712577,0.423652312182981,-5.09696311109266,3.4514555195708e-07,5.13528699848279e-06,NA
"FGFR2",28.7035272208389,-2.14628678642573,0.460688978941311,-4.65886288696989,3.1796089184549e-06,3.95377456816566e-05,"FGFR2"
"INPP5D",16.150022148433,-2.12534693249596,0.530623021948822,-4.00538017496901,6.1917815428236e-05,0.000575663157061897,"INPP5D"
"SLC6A6",740.410803126942,-2.1249159454369,0.145233372679918,-14.6310445473165,1.78032715474719e-48,5.83235175895181e-46,"SLC6A6"
"BDKRB2",5604.07659360667,-2.10780584478755,0.285659907363842,-7.37872480684824,1.59812767358333e-13,5.62403602004383e-12,"BDKRB2"
"ADRA2A",41.6521886975432,-2.1042517907705,0.419194921494751,-5.01974542837312,5.17400015636761e-07,7.40469696723047e-06,"ADRA2A"
"MEX3A",47.8952364349195,-2.10021646271161,0.338547392423313,-6.20361139891914,5.51819468358665e-10,1.25697638190726e-08,"MEX3A"
"PRRG3",46.2307472386117,-2.09597496062686,0.473111957064987,-4.43018809676576,9.41509306711335e-06,0.000106429174055773,"PRRG3"
"ELFN1",8.88472868651817,-2.0914191429773,0.83746213752914,-2.49732978872078,0.0125132522107205,0.0549241847339251,"ELFN1"
