"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"LOC105374971",89.1273208266447,-1.76027505577904,0.275531868815523,-6.3886441279778,1.67363037127298e-10,4.01003617414847e-09,"LOC105374971"
"DNM1",884.745882993046,-1.75625634965653,0.099709281182944,-17.6137700404659,1.93141688245829e-69,1.58183042673334e-66,"DNM1"
"EGR3",47.744017256153,-1.73648985874071,0.399226866453527,-4.34963176242763,1.3636632742624e-05,0.000148372493210507,"EGR3"
"ZSCAN31",71.4233338911647,-1.72192112734261,0.295832672798003,-5.8205914548132,5.86397457792423e-09,1.16490732023196e-07,"ZSCAN31"
"ITGA11",1115.80003263854,-1.72107353935233,0.137169227300757,-12.5470819747253,4.12430126723293e-36,7.0773009745717e-34,"ITGA11"
"OMG",309.30615640905,-1.71994693390009,0.202867486832043,-8.47817933153606,2.28745202408934e-17,1.16099466394484e-15,"OMG"
"MEX3B",171.526821513788,-1.71483055968985,0.195513367660696,-8.77091208753486,1.77224779270081e-18,1.01695416334023e-16,"MEX3B"
"TNFSF13B",64.0420778243889,-1.70886397699645,0.25907134011802,-6.59611355010548,4.22075706075862e-11,1.08025001023791e-09,"TNFSF13B"
"TMEM35A",786.116082755273,-1.70807890326892,0.168802250534306,-10.1188159391381,4.55897306481228e-24,4.300710821036e-22,"TMEM35A"
"FNDC5",14.651110138126,-1.70247979347098,0.532974772540112,-3.1942971434785,0.0014017175859031,0.00891498322019132,"FNDC5"
"PRKG2",239.22106335673,-1.70225470231929,0.215819438315334,-7.88740215249805,3.08541893096066e-15,1.28094650456335e-13,"PRKG2"
"PIK3R3",215.510751865581,-1.70098502399158,0.183200509954088,-9.28482690587415,1.61970228182159e-20,1.15350971201034e-18,"PIK3R3"
"ABCB5",17.9991680687101,-1.69783433138105,0.557865845460592,-3.04344556168206,0.00233885753676414,0.013794283174277,"ABCB5"
"FAIM2",155.838486168483,-1.69550951321201,0.205008256863051,-8.27044500136715,1.33459930631474e-16,6.29497651863325e-15,"FAIM2"
"ARSI",193.711245126177,-1.68693732185823,0.1910065591201,-8.83182928182862,1.02977534295246e-18,5.98532004171531e-17,"ARSI"
"CATSPER2",15.0254644735448,-1.68124274042586,0.521679685194978,-3.22274910857895,0.00126966710193197,0.00819371842500368,"CATSPER2"
"FSTL5",69.2128783569842,-1.68023362017422,0.30385314672875,-5.52975553573637,3.20677359227661e-08,5.73210779619444e-07,"FSTL5"
"CEACAMP10",9.11029754593527,-1.67969143328811,0.753059807533657,-2.23048875598508,0.025715013099974,0.0970941127483929,"CEACAMP10"
"CH25H",37.8400888854461,-1.67381965905446,0.367671618394814,-4.55248535734698,5.30158519321647e-06,6.32190350836362e-05,"CH25H"
"CCR1",10.4576827344036,-1.67379548037739,0.643062847799803,-2.60284898451866,0.00924526675452609,0.0432300916682119,"CCR1"
"LRRC4",19.0094500274597,-1.67225463836844,0.486794925750318,-3.43523432540084,0.000592041657094323,0.00425335190491448,"LRRC4"
"DUSP8",18.6658995490387,-1.66710982077626,0.564248571714665,-2.95456631057154,0.00313108857854115,0.0175914401547816,"DUSP8"
